Gene,log2FC,p-value
"TICAM2,TMED7,TMED7-TICAM2",-1.684937903241879,0.0021732728052772203
OPA3,-0.9148285393041459,0.0021754077677079097
ACVR1B,-1.2803551183211903,0.002183169238213431
JAG1,-1.1836115492946995,0.0022750437095682484
RAB15,-1.3188581718086458,0.002358089650216915
DNAJA1,-1.4343914521998578,0.0023804626202034588
DIXDC1,-1.5529020286576694,0.0024086346290286926
TNKS1BP1,-2.4240517462792104,0.0024419498099579316
SDC4,-1.8653217196415781,0.0025259436846223567
LOC728730,-3.0902109319301814,0.002601640255752835
EBNA1BP2,-1.2928667084139756,0.002621204333116716
HDGF,-1.3526538856304269,0.002645033535286066
POFUT1,-1.4350789436264448,0.0026611589439149083
CYP4F22,-2.5856755579720008,0.0028109529889480105
PMP22,-1.929825902016551,0.0028654963578460804
TSPAN17,-0.6401065882979711,0.0029093141290179995
RCOR3,-1.0682529433157013,0.002993605437414489
DNAJB11,-0.7833094874660693,0.003072307305423586
REEP3,-1.8618862794719018,0.0031972803901213595
XRCC6,1.764505117904422,0.0032740046683989686
TBC1D12,-1.4771754883320232,0.0033369545777199162
PLCB2,1.8432548957842023,0.003429992538301908
PPIC,-1.510752969374332,0.0034943446342348096
NTPCR,-1.6773490070921482,0.003518726612938921
CPE,-1.9317415755400238,0.0035799133603971658
CLOCK,-2.0167123414790726,0.0036440052633720534
FADS3,1.7059957135578587,0.004006591296726205
CCDC113,-2.302624880126176,0.004119343502307775
DSP,-2.9339898741825965,0.004136766687245247
SLC44A1,-1.6893731667926062,0.004138671893146308
MB,-2.6403385359062193,0.004185395521509086
PLD1,-0.7577295299048104,0.004217759735425343
ZNF341,-0.9530506514310715,0.004320864009483973
TMED9,-1.49348134103192,0.004323679485874296
OAT,-1.586876254103438,0.004360804664809817
MRTO4,-0.5146969220403843,0.004417232524445749
MAPK8IP1,-1.7357586266565046,0.004532284323396988
ZBTB17,2.047158192584082,0.004634709101059347
KIAA1383,-1.8092365868189648,0.004638482210394313
KLHDC2,-1.9502046264346915,0.004671288349075333
MBIP,-1.6337409021812692,0.004676106228205349
SH3PXD2B,-1.985266218847811,0.004779254622202015
FIGN,-2.0930683005315434,0.0048355121344066075
"MIR4680,PDCD4",-1.6438553944758052,0.00484985115288534
LGALS3,-1.8692767033896711,0.004881154417975434
COPS2,-1.27551204836978,0.004887599930744234
DIO3,-1.6161900610142093,0.004920374068153604
C1orf116,-5.40728687771787,0.005109429106023386
C9orf7,-1.247183212636119,0.0052296242966654955
SOX13,-1.3147658208240025,0.00528187931401867
SULT2B1,-2.4334969455967843,0.005291138173958596
RAB25,-2.6316744600261117,0.005410932913697831
